AVERAGE,CLEANLINESS,COMMUNICATION,CHECKIN,ACCURACY,LOCATION,VALUE,RATINGS_ID
2.9,4.4,1.4,3.5,1.5,3.3,3.3,1
3.9,3.5,4.5,4.5,1.6,5.0,4.7,2
2.5,2.9,2.2,1.1,4.4,1.4,3.2,3
2.6,1.8,2.9,1.3,4.9,1.2,4.0,4
2.1,5.0,1.8,1.5,1.5,1.9,1.3,5
2.2,1.9,1.9,2.6,1.5,1.9,3.7,6
2.3,1.1,2.2,3.4,3.4,1.9,2.2,7
2.7,4.2,2.1,3.0,2.6,1.0,3.6,8
2.2,3.3,1.6,1.8,1.3,3.4,2.2,9
3.0,4.0,2.6,3.5,2.8,1.5,3.6,10
3.1,3.1,2.4,4.1,2.4,4.6,2.5,11
2.7,4.2,5.0,1.2,2.1,2.8,1.2,12
3.8,5.0,4.1,4.8,2.7,4.0,2.5,13
2.5,3.6,1.5,2.3,3.2,3.0,1.6,14
1.9,1.8,2.0,4.7,1.3,1.1,1.0,15
3.3,3.8,3.9,1.4,4.6,1.4,4.7,16
2.9,3.0,1.8,3.2,2.6,1.8,5.0,17
2.9,1.8,4.0,1.5,3.2,3.3,3.9,18
2.7,1.2,3.4,3.0,3.6,1.6,4.0,19
3.5,3.2,4.3,2.5,4.0,3.6,3.7,20
2.1,1.6,2.0,3.1,2.4,2.5,1.5,21
3.3,5.0,4.6,1.0,4.6,1.3,3.3,22
3.6,4.9,3.5,4.8,4.3,3.0,1.3,23
3.3,4.9,3.6,2.1,2.6,2.6,4.5,24
2.3,2.2,2.6,2.4,2.1,1.8,3.0,25
3.0,3.0,1.0,3.5,4.9,3.9,2.0,26
3.2,2.8,4.9,1.8,3.7,2.4,3.9,27
2.7,1.9,3.4,3.5,2.2,2.0,3.3,28
3.6,5.0,4.0,4.6,4.8,2.2,1.3,29
3.4,4.8,2.2,4.7,2.7,1.2,5.0,30
3.0,4.5,3.0,1.8,5.0,1.1,2.8,31
2.8,1.3,2.5,4.7,1.8,3.2,3.8,32
3.6,1.8,4.4,4.0,3.8,3.5,4.1,33
3.0,1.8,2.9,2.0,3.2,4.2,4.2,34
3.5,2.9,4.0,4.2,3.6,1.7,4.9,35
3.2,1.3,2.7,1.5,4.3,4.9,4.5,36
4.2,4.4,4.1,4.1,3.8,4.8,4.4,37
2.5,3.5,1.1,4.2,3.8,1.5,1.4,38
3.1,3.4,2.1,4.4,4.5,2.0,2.7,39
3.0,4.5,1.2,1.9,3.8,3.2,4.0,40
2.9,4.6,3.2,1.3,2.4,2.1,4.1,41
2.7,2.2,3.1,3.8,2.4,3.8,1.4,42
3.1,3.6,2.8,2.0,3.1,4.1,3.4,43
3.0,4.8,4.3,2.5,1.6,3.1,1.7,44
2.2,1.9,3.5,1.7,1.8,1.1,3.4,45
3.5,3.6,4.4,4.8,1.3,4.8,2.1,46
2.9,2.1,2.7,4.1,2.9,4.3,1.5,47
